[2023-04-12 15:40:34] New info data recived: Temperature Bath: 194; Temperature Preheating 3: 311; Temperature Preheating 2: 522; Temperature Preheating 1: 705; 
[2023-04-12 15:40:35] New info data recived: Temperature Bath: 64; Temperature Preheating 3: 92; Temperature Preheating 2: 257; Temperature Preheating 1: 315; 
[2023-04-12 15:40:36] New info data recived: Temperature Bath: 137; Temperature Preheating 3: 202; Temperature Preheating 2: 329; Temperature Preheating 1: 333; 
[2023-04-12 15:40:37] New info data recived: Temperature Bath: 163; Temperature Preheating 3: 224; Temperature Preheating 2: 331; Temperature Preheating 1: 416; 
[2023-04-12 15:40:38] New info data recived: Temperature Bath: 23; Temperature Preheating 3: 88; Temperature Preheating 2: 111; Temperature Preheating 1: 178; 
[2023-04-12 15:40:39] New info data recived: Temperature Bath: 192; Temperature Preheating 3: 317; Temperature Preheating 2: 425; Temperature Preheating 1: 473; 
[2023-04-12 15:40:40] New info data recived: Temperature Bath: 207; Temperature Preheating 3: 207; Temperature Preheating 2: 314; Temperature Preheating 1: 529; 
[2023-04-12 15:40:41] New info data recived: Temperature Bath: 188; Temperature Preheating 3: 225; Temperature Preheating 2: 318; Temperature Preheating 1: 437; 
[2023-04-12 15:40:42] New info data recived: Temperature Bath: 63; Temperature Preheating 3: 152; Temperature Preheating 2: 364; Temperature Preheating 1: 446; 
[2023-04-12 15:40:43] New info data recived: Temperature Bath: 30; Temperature Preheating 3: 225; Temperature Preheating 2: 434; Temperature Preheating 1: 654; 
[2023-04-12 15:40:44] New info data recived: Temperature Bath: 139; Temperature Preheating 3: 282; Temperature Preheating 2: 358; Temperature Preheating 1: 549; 
[2023-04-12 15:40:45] New info data recived: Temperature Bath: 127; Temperature Preheating 3: 191; Temperature Preheating 2: 246; Temperature Preheating 1: 398; 
[2023-04-12 15:40:46] New info data recived: Temperature Bath: 21; Temperature Preheating 3: 137; Temperature Preheating 2: 273; Temperature Preheating 1: 466; 
[2023-04-12 15:40:47] New info data recived: Temperature Bath: 146; Temperature Preheating 3: 232; Temperature Preheating 2: 288; Temperature Preheating 1: 374; 
[2023-04-12 15:40:48] New info data recived: Temperature Bath: 152; Temperature Preheating 3: 372; Temperature Preheating 2: 513; Temperature Preheating 1: 716; 
[2023-04-12 15:40:49] New info data recived: Temperature Bath: 19; Temperature Preheating 3: 115; Temperature Preheating 2: 284; Temperature Preheating 1: 350; 
[2023-04-12 15:40:50] New info data recived: Temperature Bath: 120; Temperature Preheating 3: 240; Temperature Preheating 2: 372; Temperature Preheating 1: 499; 
[2023-04-12 15:40:51] New info data recived: Temperature Bath: 78; Temperature Preheating 3: 320; Temperature Preheating 2: 389; Temperature Preheating 1: 610; 
[2023-04-12 15:40:52] New info data recived: Temperature Bath: 106; Temperature Preheating 3: 262; Temperature Preheating 2: 268; Temperature Preheating 1: 310; 
[2023-04-12 15:40:53] New info data recived: Temperature Bath: 10; Temperature Preheating 3: 197; Temperature Preheating 2: 274; Temperature Preheating 1: 347; 
[2023-04-12 15:40:54] New info data recived: Temperature Bath: 192; Temperature Preheating 3: 396; Temperature Preheating 2: 500; Temperature Preheating 1: 514; 
[2023-04-12 15:40:55] New info data recived: Temperature Bath: 226; Temperature Preheating 3: 284; Temperature Preheating 2: 325; Temperature Preheating 1: 383; 
[2023-04-12 15:40:56] New info data recived: Temperature Bath: 65; Temperature Preheating 3: 119; Temperature Preheating 2: 136; Temperature Preheating 1: 307; 
[2023-04-12 15:40:57] New info data recived: Temperature Bath: 1; Temperature Preheating 3: 78; Temperature Preheating 2: 274; Temperature Preheating 1: 508; 
[2023-04-12 15:40:58] New info data recived: Temperature Bath: 108; Temperature Preheating 3: 328; Temperature Preheating 2: 358; Temperature Preheating 1: 437; 
[2023-04-12 15:40:59] New info data recived: Temperature Bath: 105; Temperature Preheating 3: 118; Temperature Preheating 2: 212; Temperature Preheating 1: 276; 
[2023-04-12 15:41:00] New info data recived: Temperature Bath: 76; Temperature Preheating 3: 207; Temperature Preheating 2: 242; Temperature Preheating 1: 297; 
[2023-04-12 15:41:01] New info data recived: Temperature Bath: 121; Temperature Preheating 3: 151; Temperature Preheating 2: 376; Temperature Preheating 1: 609; 
[2023-04-12 15:41:02] New info data recived: Temperature Bath: 251; Temperature Preheating 3: 262; Temperature Preheating 2: 303; Temperature Preheating 1: 495; 
[2023-04-12 15:41:03] New info data recived: Temperature Bath: 0; Temperature Preheating 3: 95; Temperature Preheating 2: 273; Temperature Preheating 1: 330; 
[2023-04-12 15:41:04] New info data recived: Temperature Bath: 152; Temperature Preheating 3: 221; Temperature Preheating 2: 278; Temperature Preheating 1: 341; 
[2023-04-12 15:41:05] New info data recived: Temperature Bath: 148; Temperature Preheating 3: 300; Temperature Preheating 2: 338; Temperature Preheating 1: 436; 
[2023-04-12 15:41:06] New info data recived: Temperature Bath: 173; Temperature Preheating 3: 274; Temperature Preheating 2: 513; Temperature Preheating 1: 664; 
[2023-04-12 15:41:07] New info data recived: Temperature Bath: 107; Temperature Preheating 3: 298; Temperature Preheating 2: 540; Temperature Preheating 1: 776; 
[2023-04-12 15:41:08] New info data recived: Temperature Bath: 255; Temperature Preheating 3: 377; Temperature Preheating 2: 444; Temperature Preheating 1: 606; 
